name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"33.9804357,74.9374944",11/01/94,8.9,-0.3,4.2,8.9,-0.3,4.2,0,76.6,0,0,0,,,,,3.6,50,,67.5,2,,,,,1994-01-11T07:36:19,1994-01-11T17:40:00,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",12/01/94,2.7,0.7,1.8,2.7,0.7,1.8,1.4,96.8,8,100,8.33,"rain,snow",,,,3.6,106.2,,100,2,,,,,1994-01-12T07:36:12,1994-01-12T17:40:55,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,42027099999
"33.9804357,74.9374944",13/01/94,4.4,0.7,2.7,4.4,0.7,2.7,1.6,93,19,100,8.33,"rain,snow",,,,1.8,121.6,,97.5,2,,,,,1994-01-13T07:36:04,1994-01-13T17:41:50,0.04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,42027099999
"33.9804357,74.9374944",14/01/94,4.4,1.2,3,4.4,1.2,3,2.3,95.5,0.2,100,4.17,rain,,,,1.8,286.2,,96.7,2,,,,,1994-01-14T07:35:53,1994-01-14T17:42:45,0.07,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,42027099999
"33.9804357,74.9374944",15/01/94,6.1,1.7,3.7,6.1,1.7,3.7,0.7,82,0,0,0,,,,,1.8,340,,66.7,2,,,,,1994-01-15T07:35:41,1994-01-15T17:43:41,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",16/01/94,6.7,-0.1,3.6,6.7,-0.1,3.6,-2.3,67,0,0,0,,,,,3.6,218.6,,45,2,,,,,1994-01-16T07:35:27,1994-01-16T17:44:38,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",17/01/94,3.6,-1.6,0.9,3.6,-1.6,0.9,-3.5,74.5,0,0,0,,,,,3.6,184,,88,1.8,,,,,1994-01-17T07:35:11,1994-01-17T17:45:35,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",18/01/94,2.2,-0.3,0.9,2.2,-0.3,0.9,0.2,94.5,2,100,8.33,"rain,snow",,,,3.6,98.8,,97.5,1.5,,,,,1994-01-18T07:34:53,1994-01-18T17:46:33,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,42027099999
"33.9804357,74.9374944",19/01/94,3.9,-0.3,1.8,3.9,-0.3,1.8,0.2,89.8,0.4,100,4.17,"rain,snow",,,,3.6,64,,86,2,,,,,1994-01-19T07:34:34,1994-01-19T17:47:30,0.23,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,42027099999
"33.9804357,74.9374944",20/01/94,4.1,0.1,1.5,4.1,0.1,1.5,0.3,92,1,100,4.17,"rain,snow",,,,3.6,230,,85,2,,,,,1994-01-20T07:34:13,1994-01-20T17:48:29,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,42027099999
"33.9804357,74.9374944",21/01/94,5.4,0.1,3.5,5.4,0.1,3.5,-1.7,77.1,1,100,4.17,rain,,,,3.6,230,,80,3,,,,,1994-01-21T07:33:50,1994-01-21T17:49:27,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,42027099999
"33.9804357,74.9374944",22/01/94,3.7,-2.1,1,3.7,-2.1,1,-3.2,75.3,0,0,0,,,,,3.6,115,,68,2.8,,,,,1994-01-22T07:33:25,1994-01-22T17:50:26,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",23/01/94,4.4,-1.9,0.6,4.4,-1.9,0.6,-2.5,80.2,0,0,0,,,,,3.6,325.1,,55,2,,,,,1994-01-23T07:32:58,1994-01-23T17:51:25,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",24/01/94,5.4,-1.3,3.1,5.4,-1.3,3.1,-0.9,76.6,0,0,0,,,,,1.8,115,,90,2,,,,,1994-01-24T07:32:30,1994-01-24T17:52:24,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",25/01/94,7.9,-1.8,4.3,7.9,-1.8,4.3,-0.1,75.1,0,0,0,,,,,1.8,95,,76.7,2,,,,,1994-01-25T07:32:00,1994-01-25T17:53:23,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",26/01/94,7.1,-2.8,3.2,7.1,-2.8,3.2,-1.1,74.4,0,0,0,,,,,1.8,230,,85,2,,,,,1994-01-26T07:31:28,1994-01-26T17:54:23,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",27/01/94,3.7,3.1,3.3,3.7,1.7,2.9,3.1,98.4,28.6,100,12.5,rain,,,,5.4,306.3,,100,1.7,,,,,1994-01-27T07:30:54,1994-01-27T17:55:22,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",28/01/94,6.4,4.7,5.6,6.4,4.7,5.6,3.9,89.3,0,0,0,,,,,3.6,113.4,,100,2,,,,,1994-01-28T07:30:19,1994-01-28T17:56:22,0.53,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",29/01/94,9.1,1.7,6.5,9.1,1.7,6.5,0.9,69.8,5.6,100,4.17,"rain,snow",,,,3.6,70,,53.3,2,,,,,1994-01-29T07:29:42,1994-01-29T17:57:21,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,42027099999
"33.9804357,74.9374944",30/01/94,9.4,1.4,5.2,9.4,1.4,5.2,-0.1,71.7,0.8,100,4.17,"rain,snow",,,,3.6,25,,62.5,2,,,,,1994-01-30T07:29:04,1994-01-30T17:58:21,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,42027099999
"33.9804357,74.9374944",31/01/94,6.9,-0.9,2,6.9,-0.9,2,-2.3,76.9,0,0,0,,,,,1.8,227.1,,76.7,2,,,,,1994-01-31T07:28:24,1994-01-31T17:59:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",01/02/94,9.1,0.2,6.3,9.1,0.2,6.3,-1.3,61.8,0,0,0,,,,,3.6,180,,22.5,3.5,,,,,1994-02-01T07:27:42,1994-02-01T18:00:19,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",02/02/94,8.1,8.1,8.1,8.1,8.1,8.1,-3.6,43.4,0,0,0,,,,,1.8,180,,50,2,,,,,1994-02-02T07:26:59,1994-02-02T18:01:19,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",03/02/94,9.1,1.2,3.9,9.1,1.2,3.9,-1.5,71.4,0,0,0,,,,,3.6,169.4,,60,2.7,,,,,1994-02-03T07:26:15,1994-02-03T18:02:18,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",04/02/94,3.4,2.7,2.9,3.4,2.7,2.9,2.6,97.8,0.8,100,8.33,rain,,,,3.6,308.6,,100,2,,,,,1994-02-04T07:25:28,1994-02-04T18:03:17,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",05/02/94,4.6,4.6,4.6,1.2,1.2,1.2,0.9,76.9,0,0,0,,,,,14.8,230,,100,2,,,,,1994-02-05T07:24:41,1994-02-05T18:04:15,0.81,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",06/02/94,6.4,-1.1,1.3,6.4,-1.1,1.3,-0.1,90.9,12,100,4.17,"rain,snow",,,,3.6,26.6,,77.5,2,,,,,1994-02-06T07:23:52,1994-02-06T18:05:14,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,42027099999
"33.9804357,74.9374944",07/02/94,5.4,1.2,3.7,5.4,1.2,3.7,1.7,87,0.2,100,4.17,"rain,snow",,,,3.6,323.7,,100,2,,,,,1994-02-07T07:23:01,1994-02-07T18:06:12,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,42027099999
"33.9804357,74.9374944",08/02/94,2.7,2.7,2.7,2.7,2.7,2.7,2.2,96.5,1.6,100,4.17,rain,,,,1.8,140,,100,2,,,,,1994-02-08T07:22:10,1994-02-08T18:07:10,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",09/02/94,7.9,2.4,5.4,7.9,2.4,5.4,0.8,73.7,3.2,100,4.17,rain,,,,3.6,328.1,,85,4,,,,,1994-02-09T07:21:16,1994-02-09T18:08:08,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42027099999
"33.9804357,74.9374944",10/02/94,7.7,2.7,4.4,7,2.7,4.1,1.3,82.3,0,0,0,,,,,5.4,314.3,,86.7,2,,,,,1994-02-10T07:20:22,1994-02-10T18:09:06,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",11/02/94,4.1,2.4,3.3,2.9,2.4,2.7,0.6,82.9,1.3,100,8.33,rain,,,,5.4,360,,80,2,,,,,1994-02-11T07:19:26,1994-02-11T18:10:03,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",12/02/94,7.1,1.2,4.8,7.1,1.2,4.5,-1.8,65.2,0,0,0,,,,,5.4,300.3,,70,3.3,,,,,1994-02-12T07:18:29,1994-02-12T18:11:00,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",13/02/94,2.2,0.9,1.6,2.2,0.9,1.6,0.2,90.1,0,0,0,,,,,3.6,329.7,,100,2,,,,,1994-02-13T07:17:31,1994-02-13T18:11:56,0.09,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",14/02/94,8.2,1.2,3.6,8.2,1.2,3.6,0.6,83.3,0,0,0,,,,,1.8,295,,83.3,2.7,,,,,1994-02-14T07:16:31,1994-02-14T18:12:53,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",15/02/94,6.4,1.4,3.4,6.4,1.4,3.4,0.1,80.2,0,0,0,,,,,1.8,185,,93.3,2,,,,,1994-02-15T07:15:31,1994-02-15T18:13:49,0.15,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",16/02/94,8.1,1.4,4.7,7.4,1.4,4.4,1.5,84.8,0,0,0,,,,,5.4,301.9,,80,2,,,,,1994-02-16T07:14:29,1994-02-16T18:14:44,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",17/02/94,7.1,1.7,3.7,7.1,1.7,3.7,1.4,86.4,1.2,100,4.17,"rain,snow",,,,3.6,300.3,,96.7,2,,,,,1994-02-17T07:13:26,1994-02-17T18:15:39,0.22,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,42027099999
"33.9804357,74.9374944",18/02/94,8.2,1.9,5.1,8.2,1.9,5.1,-1.2,65.6,0,0,0,,,,,1.8,360,,80,2,,,,,1994-02-18T07:12:22,1994-02-18T18:16:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",19/02/94,9.4,2.4,5.9,9.4,2.4,5.9,0.2,69.3,0,0,0,,,,,3.6,270,,75,3,,,,,1994-02-19T07:11:17,1994-02-19T18:17:29,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",20/02/94,3.7,3.1,3.4,3.7,3.1,3.4,2,90.3,5,100,4.17,rain,,,,1.8,140,,100,2,,,,,1994-02-20T07:10:11,1994-02-20T18:18:23,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",21/02/94,1.4,0.4,1,1.4,-1.4,0.6,1,100,58.2,100,12.5,"rain,snow",,,,5.4,320,,100,1,,,,,1994-02-21T07:09:04,1994-02-21T18:19:17,0.35,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,42027099999
"33.9804357,74.9374944",22/02/94,2.9,0.4,2,2.9,0.4,2,0.5,90.5,0,0,0,,,,,3.6,230,,93.3,2,,,,,1994-02-22T07:07:56,1994-02-22T18:20:11,0.38,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",23/02/94,5.1,0.7,3.6,5.1,0.7,3.6,-2.4,66.1,0,0,0,,,,,0,,,46.7,2.7,,,,,1994-02-23T07:06:47,1994-02-23T18:21:04,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",24/02/94,5.2,-1.9,1.7,5.2,-1.9,1.7,-3.5,69.4,0,0,0,,,,,1.8,140,,65,2,,,,,1994-02-24T07:05:37,1994-02-24T18:21:57,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",25/02/94,4.4,-2.6,-0.1,4.4,-2.6,-0.1,-2.6,84.2,0,0,0,,,,,3.6,270,,56.7,2.7,,,,,1994-02-25T07:04:27,1994-02-25T18:22:49,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",26/02/94,6.1,-0.3,2.9,6.1,-0.3,2.9,-0.9,77.3,0,0,0,,,,,0,,,65,2,,,,,1994-02-26T07:03:15,1994-02-26T18:23:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",27/02/94,9.1,1.1,4,9.1,1.1,4,0.5,80.2,0.8,100,4.17,"rain,snow",,,,3.6,286.2,,93.3,2,,,,,1994-02-27T07:02:03,1994-02-27T18:24:33,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,42027099999
"33.9804357,74.9374944",28/02/94,10.9,0.7,5.8,10.9,0.7,5.8,-0.4,69,0,0,0,,,,,1.8,230,,45,4,,,,,1994-02-28T07:00:50,1994-02-28T18:25:24,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",01/03/94,11.2,-0.1,4.8,11.2,-0.1,4.8,-2.6,61.9,0,0,0,,,,,1.8,230,,43.3,4,,,,,1994-03-01T06:59:37,1994-03-01T18:26:15,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",02/03/94,13.4,1.4,5.7,13.4,1.4,5.7,-0.1,72.5,0,0,0,,,,,1.8,270,,66.7,2.7,,,,,1994-03-02T06:58:22,1994-03-02T18:27:06,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",03/03/94,3.9,2.7,3.2,3.9,2.7,3.2,2.9,97.7,3,100,4.17,rain,,,,1.8,320,,100,1,,,,,1994-03-03T06:57:07,1994-03-03T18:27:56,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",04/03/94,9.1,3.1,6.1,9.1,3.1,6.1,3.8,85.8,4.2,100,8.33,rain,,,,3.6,5,,91.4,2,,,,,1994-03-04T06:55:51,1994-03-04T18:28:46,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",05/03/94,12.4,4.1,7.7,12.4,4.1,7.7,3.3,76,0,0,0,,,,,3.6,256.9,,65,2.5,,,,,1994-03-05T06:54:35,1994-03-05T18:29:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",06/03/94,13.9,4.2,9.7,13.9,4.2,9.7,0.5,58.1,0,0,0,,,,,5.4,256.8,,52,3.2,,,,,1994-03-06T06:53:18,1994-03-06T18:30:26,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",07/03/94,15.9,3.4,10.4,15.9,3.4,10.4,1.5,57.4,0,0,0,,,,,3.6,256.9,,46.7,2.7,,,,,1994-03-07T06:52:01,1994-03-07T18:31:15,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",08/03/94,15.7,3.4,10.3,15.7,3.4,10.3,0.3,53.4,0,0,0,,,,,3.6,251.6,,37.1,3.4,,,,,1994-03-08T06:50:43,1994-03-08T18:32:04,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",09/03/94,15.1,8.4,12.9,15.1,8.4,12.9,0.2,42.8,0,0,0,,,,,3.6,275,,72.5,2.5,,,,,1994-03-09T06:49:25,1994-03-09T18:32:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",10/03/94,15.9,7.2,12.1,15.9,7.2,12.1,1.5,50.2,0,0,0,,,,,3.6,320,,63.3,3.3,,,,,1994-03-10T06:48:06,1994-03-10T18:33:41,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",11/03/94,11.4,5.2,9.5,11.4,5.2,9.5,3.7,67.7,0,0,0,,,,,11.2,270,,98.3,2,,,,,1994-03-11T06:46:47,1994-03-11T18:34:29,0.96,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",12/03/94,13.1,6.2,9.3,13.1,6.2,9.3,4.1,72.1,0.8,100,4.17,rain,,,,1.8,270,,77.5,2,,,,,1994-03-12T06:45:27,1994-03-12T18:35:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42027099999
"33.9804357,74.9374944",13/03/94,15.2,8.1,13.1,15.2,8.1,13.1,5.4,59.7,0,0,0,,,,,1.8,90,,87.5,2.5,,,,,1994-03-13T06:44:07,1994-03-13T18:36:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",14/03/94,12.4,8.4,10.4,12.4,8.4,10.4,8.1,86,3,100,4.17,rain,,,,7.6,261.6,,95,5,,,,,1994-03-14T06:42:47,1994-03-14T18:36:52,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",15/03/94,13.9,8.4,11.2,13.9,8.4,11.2,5.8,71.3,0,0,0,,,,,3.6,285,,90,2,,,,,1994-03-15T06:41:26,1994-03-15T18:37:39,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",16/03/94,12.4,-8.1,6.2,12.4,-8.1,6.2,6,73.8,0.9,100,8.33,rain,,,,7.6,294.7,,90,3,,,,,1994-03-16T06:40:05,1994-03-16T18:38:26,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",17/03/94,16.9,8.9,13.8,16.9,8.9,13.8,7,65.1,0,0,0,,,,,3.6,329.7,,66,3.6,,,,,1994-03-17T06:38:44,1994-03-17T18:39:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",18/03/94,16.4,9.4,11.4,16.4,9.4,11.4,8.6,83.9,1.9,100,4.17,rain,,,,3.6,340,,90,2.5,,,,,1994-03-18T06:37:23,1994-03-18T18:39:59,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,42027099999
"33.9804357,74.9374944",19/03/94,11.4,9.9,10.4,11.4,9.9,10.4,9,91.5,4.1,100,8.33,rain,,,,3.6,360,,100,3,,,,,1994-03-19T06:36:02,1994-03-19T18:40:45,0.23,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",20/03/94,12.4,8.1,9.9,12.4,8.1,9.9,6.7,82.1,8.9,100,8.33,rain,,,,5.4,320,,93.3,2.3,,,,,1994-03-20T06:34:40,1994-03-20T18:41:32,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",21/03/94,12.2,8.1,9.2,12.2,8.1,9.2,7.3,88.5,6,100,8.33,rain,,,,3.6,275,,97.5,2,,,,,1994-03-21T06:33:18,1994-03-21T18:42:18,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,42027099999
"33.9804357,74.9374944",22/03/94,15.7,7.9,10.8,15.7,7.9,10.8,6.5,78.1,7,100,4.17,rain,,,,1.8,320,,73.3,3.3,,,,,1994-03-22T06:31:57,1994-03-22T18:43:04,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42027099999
"33.9804357,74.9374944",23/03/94,9.4,9.4,9.4,9.4,9.4,9.4,4.7,72.5,0,0,0,,,,,0,,,10,4,,,,,1994-03-23T06:30:35,1994-03-23T18:43:50,0.36,Clear,Clear conditions throughout the day.,clear-day,42027099999
"33.9804357,74.9374944",24/03/94,19.2,9.4,14.3,19.2,9.4,14.3,4.5,54.8,0,0,0,,,,,0,,,85,2,,,,,1994-03-24T06:29:13,1994-03-24T18:44:35,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",25/03/94,11.9,11.9,11.9,11.9,11.9,11.9,5.7,65.8,0,0,0,,,,,0,,,100,4,,,,,1994-03-25T06:27:51,1994-03-25T18:45:21,0.43,Overcast,Cloudy skies throughout the day.,cloudy,42027099999
"33.9804357,74.9374944",26/03/94,16.4,8.4,12.7,16.4,8.4,12.7,5.5,64,4.7,100,4.17,rain,,,,3.6,211.6,,63.3,3.3,,,,,1994-03-26T06:26:29,1994-03-26T18:46:07,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,42027099999
"33.9804357,74.9374944",27/03/94,19.4,9.9,13.6,19.4,9.9,13.6,1.9,54.7,0,0,0,,,,,1.8,25,,25,4,,,,,1994-03-27T06:25:07,1994-03-27T18:46:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",28/03/94,19.1,6.7,10.4,19.1,6.7,10.4,4.8,77.6,0,0,0,,,,,1.8,250,,57.5,4,,,,,1994-03-28T06:23:46,1994-03-28T18:47:38,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",29/03/94,19.4,12.9,16.2,19.4,12.9,16.2,6.4,55.1,0,0,0,,,,,1.8,230,,85,4,,,,,1994-03-29T06:22:24,1994-03-29T18:48:23,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",30/03/94,11.7,10.1,10.9,11.7,10.1,10.9,8.5,85.7,7.6,100,8.33,rain,,,,3.6,340,,90,2,,,,,1994-03-30T06:21:03,1994-03-30T18:49:08,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,42027099999
"33.9804357,74.9374944",31/03/94,19.1,9.7,13.8,19.1,9.7,13.8,8,78.7,0,0,0,,,,,3.6,225,,77.5,3,,,,,1994-03-31T06:19:41,1994-03-31T18:49:54,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
"33.9804357,74.9374944",01/04/94,18.4,8.4,14.8,18.4,8.4,14.8,6.6,58.8,0,0,0,,,,,5.4,158,,70,3,,,,,1994-04-01T06:18:20,1994-04-01T18:50:39,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,42027099999
